噲	哙
駡	骂
噥	哝
噦	哕
嬡	嫒
嬙	嫱
諳	谙
諤	谔
諶	谌
諦	谛
諜	谍
諷	讽
諱	讳
諢	诨
諫	谏
謀	谋
諾	诺
諞	谝
謂	谓
諧	谐
諝	谞
諼	谖
諺	谚
謁	谒
諛	谀
諭	谕
諮	谘
諸	诸
餓	饿
餑	饽
餜	馃
餒	馁
餘	余
甌	瓯
鮁	鲅
鮑	鲍
鮒	鲋
鮎	鲇
鮍	鲏
鮃	鲆
鮐	鲐
鮣	䲟
鮓	鲊
辦	办
憊	惫
懇	恳
憑	凭
憶	忆
懌	怿
應	应
儐	傧
儕	侪
儔	俦
儘	尽
穇	䅟
積	积
穌	稣
穎	颖
艙	舱
蒼	苍
蓋	盖
蓀	荪
蒔	莳
輳	辏
輻	辐
輯	辑
輸	输
縗	缞
縛	缚
縞	缟
縑	缣
縉	缙
縟	缛
縧	绦
縣	县
縊	缢
縈	萦
縕	缊
縝	缜
縐	绉
縋	缒
閶	阊
閽	阍
閿	阌
閹	阉
閼	阏
閻	阎
閾	阈
磣	碜
磧	碛
磚	砖
赬	赪
鴟	鸱
鴣	鸪
鴒	鸰
鴝	鸲
鴕	鸵
鴞	鸮
鴨	鸭
鴦	鸯
鴛	鸳
遲	迟
遼	辽
遷	迁
選	选
遺	遗
熾	炽
燈	灯
燜	焖
燒	烧
燙	烫
燁	烨
擔	担
擋	挡
撿	捡
據	据
擓	㧟
擄	掳
撻	挞
撾	挝
擁	拥
擇	择
殫	殚
殨	㱮
澱	淀
澮	浍
澠	渑
濃	浓
澾	㳠
澦	滪
澤	泽
濁	浊
窵	窎
窶	窭
窺	窥
獨	独
獪	狯
獫	猃
篤	笃
篩	筛
築	筑
賭	赌
賵	赗
賴	赖
奮	奋
龜	龟
駭	骇
駱	骆
駢	骈
頷	颔
頰	颊
頸	颈
頻	频
頲	颋
頭	头
頹	颓
頤	颐
樺	桦
機	机
樸	朴
橋	桥
橈	桡
樹	树
橢	椭
璣	玑
璡	琎
劑	剂
舉	举
墾	垦
壇	坛
瞘	眍
瞜	䁖
瞞	瞒
褲	裤
鄶	郐
鄴	邺
曆	历
曇	昙
曉	晓
曄	晔
歷	历
龍	龙
瘻	瘘
瘮	瘆
盧	卢
螞	蚂
螄	蛳
螢	萤
膩	腻
親	亲
覦	觎
隨	随
險	险
學	学
嶨	峃
嶧	峄
踴	踊
禦	御
醞	酝
戰	战
鎄	锿
鍔	锷
鍤	锸
鍍	镀
鍛	锻
鍋	锅
鍰	锾
鍵	键
鍇	锴
錨	锚
鎇	镅
鎂	镁
鍬	锹
鍥	锲
鍶	锶
鍚	钖
鍘	铡
鍺	锗
鍾	钟
曖	暧
璦	瑷
環	环
鴯	鸸
鴿	鸽
鴰	鸹
鴴	鸻
鴻	鸿
鵁	䴔
鴷	䴕
鵂	鸺
鵃	鸼
闆	板
闊	阔
闌	阑
闃	阒
闋	阕
闈	闱
幫	帮
謗	谤
謊	谎
講	讲
謎	谜
謐	谧
謙	谦
謖	谡
謚	谥
謄	誊
謝	谢
謔	谑
謠	谣
謅	诌
篳	筚
簍	篓
簀	箦
蓽	荜
蔔	卜
蓯	苁
蔣	蒋
蓮	莲
蔞	蒌
蔦	茑
蔭	荫
濱	滨
濟	济
濜	浕
濫	滥
濛	蒙
濘	泞
澀	涩
濕	湿
濤	涛
濰	潍
擯	摈
擱	搁
擠	挤
擬	拟
擰	拧
餅	饼
餷	馇
餶	馉
館	馆
餛	馄
餞	饯
餡	馅
燦	灿
燴	烩
營	营
燭	烛
聰	聪
聯	联
聳	耸
聲	声
禪	禅
償	偿
優	优
齔	龀
檉	柽
檔	档
檜	桧
檟	槚
檢	检
檣	樯
騁	骋
駿	骏
駸	骎
醜	丑
膽	胆
膾	脍
臉	脸
膿	脓
癉	瘅
癆	痨
療	疗
癇	痫
點	点
糞	粪
糝	糁
縫	缝
績	绩
縲	缧
縭	缡
縷	缕
縵	缦
繆	缪
縹	缥
縴	纤
繅	缫
縮	缩
總	总
縱	纵
縶	絷
賻	赙
購	购
賽	赛
賺	赚
尷	尴
覯	觏
覬	觊
轂	毂
轄	辖
輿	舆
轅	辕
輾	辗
鮭	鲑
鮫	鲛
鮚	鲒
鮦	鲖
鮪	鲔
鮮	鲜
鮝	鲞
鮺	鲝
蟈	蝈
螻	蝼
蟎	螨
蟄	蛰
還	还
邁	迈
韓	韩
嚇	吓
嚀	咛
獲	获
獰	狞
磯	矶
磽	硗
艱	艰
襇	裥
襉	裥
褳	裢
褸	褛
褻	亵
矯	矫
屨	屦
颶	飓
顆	颗
虧	亏
勵	励
隸	隶
斂	敛
殮	殓
瞭	了
臨	临
嶺	岭
嶸	嵘
嶼	屿
耬	耧
懞	蒙
懨	恹
彌	弥
嬪	嫔
嬰	婴
牆	墙
蹌	跄
趨	趋
麯	曲
雖	虽
戲	戏
壓	压
隱	隐
黿	鼋
齋	斋
氈	毡
額	额
題	题
顔	颜
顒	颙
顓	颛
鵝	鹅
鵓	鹁
鵠	鹄
鵑	鹃
鵜	鹈
鵡	鹉
鵒	鹆
邇	迩
謳	讴
謭	谫
謹	谨
謾	谩
謬	谬
謨	谟
謫	谪
擺	摆
擷	撷
擴	扩
攆	撵
擾	扰
擻	擞
攄	摅
擲	掷
鎊	镑
鎬	镐
鎘	镉
鎵	镓
鎸	镌
鎧	铠
鎦	镏
鎿	镎
鎳	镍
鎪	锼
鎖	锁
䥇	䦂
鎢	钨
鎰	镒
鎮	镇
鎡	镃
斃	毙
蹕	跸
蹣	蹒
